"source";"translation";"type";"module";"status";"customer"
"%s field(s) successfully saved";"%s polje(a) uspešno sačuvano(a)";"S";"";"T";"N"
"User";"Korisnik";"B";"";"T";"N"
"Channel name";"Ime kanala";"S";"";"T";"N"
"Pattern didn't matched the URL, check your pattern";"Obrazac se ne poklapa sa URLom, proverite obrazac";"S";"";"T";"N"
"Pattern matched the URL";"Obrazac odgovara URLu";"S";"";"T";"N"
"Login";"Prijava";"B";"";"T";"N"
"First name";"Ime";"B";"";"T";"N"
"Last name";"Prezime";"B";"";"T";"N"
"Referral ID";"Referal ID";"B";"";"T";"N"
"I agree with terms & conditions";"Prihvatam uslove i obaveze";"B";"";"T";"N"
"Cannot find invoice";"Faktura nije pronađena";"S";"";"T";"N"
"Affiliate";"Partner";"B";"";"T";"N"
"Date of registration";"Datum registracije";"S";"";"T";"N"
"Commission";"Provizija";"B";"";"T";"N"
"Total cost";"Ukupna cena";"B";"";"T";"N"
"Order ID";"ID porudžbine";"B";"";"T";"N"
"Product ID";"ID proizvoda";"B";"";"T";"N"
"Created";"Kreirano";"B";"";"T";"N"
"Campaign Name";"Ime kampanje";"B";"";"T";"N"
"Type";"Vrsta";"B";"";"T";"N"
"Affiliate username";"Korisničko ime partnera";"S";"";"T";"N"
"Paid";"plaćeno";"B";"";"T";"N"
"Ip";"IP";"S";"";"N";"N"
"Referer";"Referer";"B";"";"N";"N"
"Recurring commison id";"Id obnovljene provizije";"S";"";"T";"N"
"Payout history id";"ID istorije plaćanja";"B";"";"T";"N"
"Click count";"Broj klikova";"S";"";"T";"N"
"First click time";"Prvi klik vreme";"S";"";"T";"N"
"First click referer";"Prvi klik izvor";"S";"";"T";"N"
"First click ip";"Prvi klik ip";"S";"";"T";"N"
"First click data 1";"Prvi klik podatak 1";"S";"";"T";"N"
"First click data 2";"Prvi klik podatak 2";"S";"";"T";"N"
"Last click time";"Zadnjki klik vreme";"S";"";"T";"N"
"Last click referer";"Zadnjki klik izvor";"S";"";"T";"N"
"Last click ip";"Zadnjki klik ip";"S";"";"T";"N"
"Last click data 1";"Zadnjki klik podatak 1";"S";"";"T";"N"
"Last click data 2";"Zadnjki klik podatak 2";"S";"";"T";"N"
