"source";"translation";"type";"module";"status";"customer"
"Email was successfully sent to merchant";"E-pasts veiksmīgi nosūtīts tirgotājam (merchant)";"S";"";"T";"N"
"Email notifications saved";"E-pasta paziņojumi saglabāti";"S";"";"T";"N"
"Banner";"Baneris";"B";"";"T";"Y"
"none active";"neviens nav aktīvs";"S";"";"T";"Y"
"per click";"par klikšķi";"B";"";"T";"Y"
"per sale";"par pārdošanu";"B";"";"T";"Y"
"ID";"Id ";"B";"";"T";"N"
"Name";"Vārds";"B";"";"T";"Y"
"Description";"Apraksts";"B";"";"T";"N"
"Status";"Statuss";"B";"";"T";"N"
"Date created";"Izveidošanas datums";"S";"";"T";"Y"
"Actions";"Aktivitātes";"B";"";"T";"Y"
"Channel";"Kanāls";"B";"";"T";"Y"
"Failed to save %s field(s)";"Neizdevās saglabāt %s lauku(s)";"S";"";"T";"N"
"%s field(s) successfully saved";"%s lauks(i) veiksmīgi saglabāti";"S";"";"T";"N"
"User";"Lietotājs";"B";"";"T";"Y"
"Channel name";"Kanāla nosaukums";"S";"";"T";"Y"
"Pattern matched the URL";"Struktūra atbilda URL";"S";"";"T";"N"
"Login";"Lietotāja vārds";"B";"";"T";"Y"
"First name";"Vārds";"B";"";"T";"Y"
"Last name";"Uzvārds";"B";"";"T";"Y"
"Referral ID";"Referāļa ID";"B";"";"T";"Y"
"I agree with terms & conditions";"Es piekrītu lietošanas nosacījumiem";"B";"";"T";"Y"
"Cannot find invoice";"Nevar atrast rēķinu";"S";"";"T";"Y"
"Affiliate";"Partneris";"B";"";"T";"N"
"Date of registration";"Reģistrācijas datums";"S";"";"T";"Y"
"Commission";"Komisijas";"B";"";"T";"N"
"Total cost";"Kopējās izmaksas";"B";"";"T";"Y"
"Order ID";"Pasūtījuma ID";"B";"";"T";"Y"
"Product ID";"Produkta ID";"B";"";"T";"N"
"Created";"Izveidots";"B";"";"T";"N"
"Campaign Name";"Kampaņas nosaukums";"B";"";"T";"Y"
"Type";"Tips";"B";"";"T";"N"
"Affiliate username";"Partnera lietotājvārds";"S";"";"T";"Y"
"Paid";"Apmaksāts";"B";"";"T";"Y"
"Ip";"IP ";"S";"";"T";"N"
"Referer";"Referālis";"B";"";"T";"Y"
"Recurring commison id";"Atkārtoto komisiju id";"S";"";"T";"Y"
"Payout history id";"Izmaksu vēstures id";"B";"";"T";"Y"
"Click count";"Klikšķu skaits";"S";"";"T";"N"
"First click time";"Pirmā klikšķa laiks";"S";"";"T";"N"
"First click referer";"Pirmā klikšķa referālis";"S";"";"T";"N"
"First click ip";"Pirmā klikšķa IP";"S";"";"T";"N"
"First click data 1";"Pirmā klikšķa data 1";"S";"";"T";"N"
"First click data 2";"Pirmā klikšķa data 2";"S";"";"T";"N"
"Last click time";"Pēdējā klikšķa laiks";"S";"";"T";"N"
"Last click referer";"Pēdējā klikšķa referālis";"S";"";"T";"N"
"Last click ip";"Pēdējā klikšķa IP";"S";"";"T";"N"
"Last click data 1";"Pēdējā klikšķa data 1";"S";"";"T";"N"
"Last click data 2";"Pēdējā klikšķa data 2";"S";"";"T";"N"
"Extra data 1";"Papildus dati 1";"B";"";"T";"N"
"Extra data 2";"Papildus dati 2";"B";"";"T";"N"
"Extra data 3";"Papildus dati 3";"S";"";"T";"N"
"Extra data 4";"Papildus dati 4";"S";"";"T";"N"
"Extra data 5";"Papildus dati 5";"S";"";"T";"N"
"Merchant note";"Tirgotāja (Merchant) piezīmes";"B";"";"T";"N"
"Banner name";"Banera nosaukums";"B";"";"T";"Y"
"Banner preview";"Banera priekšskatījums";"S";"";"T";"Y"
"Campaign";"Kampaņa";"B";"";"T";"Y"
"Target URL";"Mērķa URL";"B";"";"T";"Y"
"Banner type";"Banera veids";"S";"";"T";"Y"
"Html data is not defined";"Html dati nav definēti";"S";"";"T";"Y"
"File name is not defined";"Faila nosaukums nav definēts";"S";"";"T";"Y"
"unknown";"Nezināms";"B";"";"T";"Y"
"approved";"Akceptēts";"B";"";"T";"Y"
"pending";"Apstrādē";"B";"";"T";"Y"
"User Id";"Lietotāja Id";"S";"";"T";"Y"
"Payment date";"Maksājuma datums";"S";"";"T";"Y"
"Username";"Lietotājvārds";"B";"";"T";"Y"
"Amount";"Daudzums";"B";"";"T";"N"
"Note to affiliate";"Ziņa afilātei";"S";"";"T";"N"
"Original currency ID";"Orģinālās valūtas ID";"S";"";"T";"N"
"Original currency rate";"Orģinālās valūtas kurss";"S";"";"T";"N"
"Original currency value";"Orģinālās valūtas vērtība";"S";"";"T";"N"
"System note";"Sistēmas ziņa";"B";"";"T";"Y"
"Country code";"Valsts kods";"B";"";"T";"N"
"Affiliate first name";"Afilātes vārds";"S";"";"T";"Y"
"Affiliate last name";"Afilātes uzvārds";"S";"";"T";"Y"
"3rd party cookie";"3šo personu ""cookie""";"B";"";"T";"Y"
"1st party cookie";"Pirmo personu ""cookie""";"B";"";"T";"Y"
"Flash cookie";"Flash ""cookie""";"B";"";"T";"Y"
"Forced parameter";"Piespiedu parametrs";"B";"";"T";"Y"
"IP address";"IP adrese";"B";"";"T";"Y"
"Default affiliate";"Noklusējuma afilāte";"B";"";"T";"Y"
"Url";"URL";"B";"";"T";"Y"
"Note";"Piezīme";"B";"";"T";"Y"
