"source";"translation";"type";"module";"status";"customer"
"Merchant note";"Poznámka obchodníka";"B";"";"T";"N"
"Banner name";"Název banneru";"B";"";"T";"N"
"Banner preview";"Náhled banneru";"S";"";"T";"N"
"Campaign";"Kampaň";"B";"";"T";"N"
"Target URL";"Cílová URL";"B";"";"T";"N"
"Banner type";"Typ banneru";"S";"";"T";"N"
"Html data is not defined";"Nejsou zadána HTML data";"S";"";"T";"N"
"File name is not defined";"Není zadán název souboru";"S";"";"T";"N"
"unknown";"Neznámý";"B";"";"T";"N"
"approved";"Povoleno";"B";"";"T";"N"
"pending";"Nerozhodnuto";"B";"";"T";"N"
"User Id";"ID uživatele";"S";"";"T";"N"
"Payment date";"Datum platby";"S";"";"T";"N"
"Username";"Uživatelské jmeno";"B";"";"T";"N"
"Amount";"Množství";"B";"";"T";"N"
"Note to affiliate";"Poznámka partnerovi";"S";"";"T";"N"
"Original currency ID";"ID původní měny";"S";"";"T";"N"
"Original currency rate";"Kurz původní měny";"S";"";"T";"N"
"Original currency value";"Hodnota původní měny";"S";"";"T";"N"
"System note";"Systémová poznámka";"B";"";"T";"N"
"Country code";"Kód země";"B";"";"T";"N"
"Affiliate first name";"Křestní jméno partnera";"S";"";"T";"N"
"Affiliate last name";"Příjmení partnera";"S";"";"T";"N"
"3rd party cookie";"cookie třetí strany";"B";"";"T";"N"
"1st party cookie";"cookie první strany";"B";"";"T";"N"
"Flash cookie";"Flashový cookie";"B";"";"T";"N"
"Forced parameter";"Povinný údaj";"B";"";"T";"N"
"IP address";"IP adresa";"B";"";"T";"N"
"Default affiliate";"Výchozí partner";"B";"";"T";"N"
"Url";"Url";"B";"";"T";"N"
"Note";"Poznámka";"B";"";"T";"N"
"Status does not have allowed value";"Status nemá povolenou hodnotu";"S";"";"T";"N"
"Selected username already exists";"Uživatelské jmené již existuje";"S";"";"T";"N"
"Failed to change status for %s user(s)";"Nepodařilo se změnit status pro %s uživatele(ů)";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"Status úspěšně změněn pro %suživatele(ů)";"S";"";"T";"N"
"Password";"Heslo";"B";"";"T";"N"
"Title must be unique";"Nadpis musí být unikátní";"S";"";"T";"N"
"Selected parent affiliate does not exist";"Vybraný nadřazený partner neexistuje";"S";"";"T";"N"
"Failed loading file %s with error: %s";"Nepodařilo se načíst soubor %s chyby: %s";"S";"";"T";"N"
"Merchant - New User Signup";"Obchodník - Registrace nového uživatele";"B";"";"T";"N"
"New user signed up";"Nový uživatel zaregistrován";"B";"";"T";"N"
"Email subject";"Předmět e-mailu";"S";"";"T";"N"
"Email text";"Text e-mailu";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"Obchodník - Partner vyplnil formulář pro kontakt";"B";"";"T";"N"
"Affiliate filled Contact us form";"Partner vyplnil formulář pro kontakt";"B";"";"T";"N"
"Merchant - New Sale / Lead";"Obchodník - Nový prodej / Lead";"B";"";"T";"N"
"New sale / lead";"Nový prodej / lead";"B";"";"T";"N"
"Affiliate - New User Signup Approved";"Partner - Registrace nového uživatele schválena";"B";"";"T";"N"
", welcome to our affiliate program";", vítejte v našem partnerském programu";"B";"";"T";"N"
"Affiliate - New User Signup Before Approval";"Partner - Nová registrace před schválením";"B";"";"T";"N"
"Paid amount";"Vyplacená částka";"S";"";"T";"N"
"Paid currency";"Měna";"S";"";"T";"N"
"Payout method";"Metoda vyplacení";"B";"";"T";"N"
"Affiliate - On payout";"Partner - Ve výplatě";"B";"";"T";"N"
"Your commissions";"Vaše provize";"B";"";"T";"N"
"Affiliate - New Subaffiliate Sale / Lead";"Partner - Nový prodej podpartnera / Lead";"B";"";"T";"N"
"New subaffiliate sale / lead";"Partner - Nový prodej podpartnera / lead";"B";"";"T";"N"
"Affiliate - New Subaffiliate signup";"Partner - registrace nového podpartnera";"B";"";"T";"N"
"New subaffiliate signed up";"Registroval se nový podpartner";"B";"";"T";"N"
"VAT percentage";"procento DPH";"B";"";"T";"N"
"VAT number";"DIČ";"B";"";"T";"N"
"Registration number";"Registrační číslo";"B";"";"T";"N"
"VAT part";"Část DPH";"B";"";"T";"N"
"Payment incl. VAT";"Platba vč. DPH";"B";"";"T";"N"
"Payment excl. VAT";"Platba bez DPH";"B";"";"T";"N"
"Affiliate - On VAT payout";"Partner - V DPH výplatě";"B";"";"T";"N"
"Transaction ID";"ID transakce";"B";"";"T";"N"
"TotalCost";"Celková suma";"S";"";"T";"N"
"Campaign ID";"ID kampaně";"S";"";"T";"N"
"Referer URL";"URL refereru (odkazujícího)";"S";"";"T";"N"
"First click - time";"Čas prvního kliknutí";"S";"";"T";"N"
"First click - referer";"První klik - referer ";"S";"";"T";"N"
"First click - IP";"První klik - IP";"S";"";"T";"N"
"First click - data1";"První klik - data1";"S";"";"T";"N"
"First click - data2";"První klik - data2";"S";"";"T";"N"
"Last click - time";"Čas posledního kliknutí";"S";"";"T";"N"
"Last click - referer";"Poslední klik - referer (odkazující posledního kliknutí)";"S";"";"T";"N"
"Last click - IP";"Poslední klik - IP";"S";"";"T";"N"
"Last click - data1";"Poslední klik - data1";"S";"";"T";"N"
"Last click - data2";"Poslední klik - data2";"S";"";"T";"N"
"Transaction data1";"Data1 transakce";"S";"";"T";"N"
"Transaction data2";"Data2 transakce";"S";"";"T";"N"
"Transaction data3";"Data3 transakce";"S";"";"T";"N"
"Transaction data4";"Data4 transakce";"S";"";"T";"N"
"Transaction data5";"Data5 transakce";"S";"";"T";"N"
"Note to merchant";"Poznámka obchodníka";"S";"";"T";"N"
"Original currency";"Původní měna";"S";"";"T";"N"
"Banner does not exist";"Banner neexistuje";"S";"";"T";"N"
"Server error: Unknown type given for BannerForm._save()";"Chyba serveru: Zadaný neznámý typ pro BannerForm._save()";"S";"";"T";"N"
"Banner was saved";"Banner uložen";"S";"";"T";"N"
"Clicks";"Kliknutí";"B";"";"T";"N"
"CTR";"CTR";"S";"";"N";"N"
"Order";"Pořadí";"B";"";"T";"N"
"BannersImportExportDescription";"Definice bannerů - toto jsou pouze definice, jak mají bannery pro export/import vypadat, nikoli vlastní obrázky nebo soubory";"B";"";"T";"N"
"Campaign does not exist";"Kampaň neexistuje";"S";"";"T";"N"
"Campaign capping saved";"Uzavření kampaně uloženo";"S";"";"T";"N"
"Number of transactions in 'Active until' campaign validity has to be set";"Počet transakcí v 'Active until' platnosti kampani musí být nastaven";"S";"";"T";"N"
"There are missing From and To dates for 'Active in date range' campaign validity";"Chybí zde data Od a Do pro platnost kampaně 'Aktivní v časovém úseku'";"S";"";"T";"N"
"Commission successfully computed";"Provize úspěšně spočítána";"S";"";"T";"N"
