"source";"translation";"type";"module";"status";"customer"
"File name is not defined";"Tên tập tin không được xác định";"S";"";"T";"N"
"unknown";"Không biết";"B";"";"T";"N"
"approved";"Phê duyệt";"B";"";"T";"N"
"pending";"Chờ duyệt";"B";"";"T";"N"
"User Id";"ID Người dùng";"S";"";"T";"N"
"Payment date";"Ngày thanh toán";"S";"";"T";"N"
"Username";"Tên đăng nhập";"B";"";"T";"N"
"Amount";"Số tiền";"B";"";"T";"N"
"Note to affiliate";"Ghi chú cho Affliate";"S";"";"T";"N"
"Original currency ID";"ID đơn vị tiền tệ gốc";"S";"";"T";"N"
"Original currency rate";"Tỷ giá đơn vị tiền tệ gốc";"S";"";"T";"N"
"Original currency value";"Giá trị đơn vị tiền tệ gốc";"S";"";"T";"N"
"System note";"Ghi chú hệ thống";"B";"";"T";"N"
"Country code";"Mã quốc gia";"B";"";"T";"N"
"Affiliate first name";"Tên Affiliate";"S";"";"T";"N"
"Affiliate last name";"Họ Affliate";"S";"";"T";"N"
"3rd party cookie";"3rd party cookie";"B";"";"N";"N"
"1st party cookie";"1st party cookie";"B";"";"N";"N"
"Flash cookie";"Flash Cookie";"B";"";"T";"N"
"Forced parameter";"Tham số bắt buộc";"B";"";"T";"N"
"IP address";"Địa chỉ IP";"B";"";"T";"N"
"Default affiliate";"Affiliate mặc định";"B";"";"T";"N"
"Url";"URL";"B";"";"N";"N"
"Note";"Ghi chú";"B";"";"T";"N"
"Status does not have allowed value";"Trạng thái chứa giá trị không cho phép";"S";"";"T";"N"
"Selected username already exists";"Tên người dùng đã tồn tại";"S";"";"T";"N"
"Failed to change status for %s user(s)";"Không thể thay đổi trạng thái cho người sử dụng %s";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"Trạng thái thay đổi thành công cho người sử dụng %s";"S";"";"T";"N"
"Password";"Mật khẩu";"B";"";"T";"N"
"Title must be unique";"Tiêu đề phải là duy nhất";"S";"";"T";"N"
"Selected parent affiliate does not exist";"Parent Affiliate được chọn không tồn tại";"S";"";"T";"N"
"Failed loading file %s with error: %s";"Tải tập tin %s không thành công với lỗi: %s";"S";"";"T";"N"
"Merchant - New User Signup";"Merchant - Đăng ký tài khoản mới";"B";"";"T";"N"
"New user signed up";"Người dùng mới đăng ký";"B";"";"T";"N"
"Email subject";"Tiêu đề Email";"S";"";"T";"N"
"Email text";"Văn bản email";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"Merchant - Affiliate filled Contact us form";"B";"";"N";"N"
"Affiliate filled Contact us form";"Affiliate filled Contact us form";"B";"";"N";"N"
"Merchant - New Sale / Lead";"Merchant - Sale / Lead mới";"B";"";"T";"N"
"New sale / lead";"Sale / lead mới";"B";"";"T";"N"
"Affiliate - New User Signup Approved";"Affiliate - Người dùng đăng ký mới đã được duyệt";"B";"";"T";"N"
", welcome to our affiliate program";", chào mừng đến với chương trình tiếp thị liên kết của chúng tôi";"B";"";"T";"N"
"Affiliate - New User Signup Before Approval";"Affiliate - Người dùng đăng ký trước khi được duyệt";"B";"";"T";"N"
"Paid amount";"Số tiền đã thanh toán";"S";"";"T";"N"
"Paid currency";"Tiền tệ đã thanh toán";"S";"";"T";"N"
"Payout method";"Phương thức thanh toán";"B";"";"T";"N"
"Affiliate - On payout";"Affiliate - On payout";"B";"";"N";"N"
"Your commissions";"Hoa hồng của bạn";"B";"";"T";"N"
"Affiliate - New Subaffiliate Sale / Lead";"Affiliate - Sale / Lead của Subaffiliate mới";"B";"";"T";"N"
"New subaffiliate sale / lead";"Sale / lead của Subaffiliate mới";"B";"";"T";"N"
"Affiliate - New Subaffiliate signup";"Affiliate - đăng ký Subaffiliate mới";"B";"";"T";"N"
"New subaffiliate signed up";"Subaffiliate mới đã đăng ký";"B";"";"T";"N"
"VAT percentage";"Phần trăm Thuế GTGT";"B";"";"T";"N"
"VAT number";"Số Thuế GTGT";"B";"";"T";"N"
"Registration number";"Số đăng ký";"B";"";"T";"N"
"VAT part";"Phần Thuế GTGT";"B";"";"T";"N"
"Payment incl. VAT";"Thanh toán bao gồm Thuế GTGT";"B";"";"T";"N"
"Payment excl. VAT";"Thanh toán không bao gồm Thuế GTGT";"B";"";"T";"N"
"Affiliate - On VAT payout";"Liên kết - thanh toán thuế GTGT";"B";"";"T";"N"
"Transaction ID";"ID Giao dịch";"B";"";"T";"N"
"TotalCost";"Tổng giá trị";"S";"";"T";"N"
"Campaign ID";"ID Chiến dịch";"S";"";"T";"N"
"Referer URL";"URL giới thiệu";"S";"";"T";"N"
"First click - time";"First Click - Time";"S";"";"N";"N"
"First click - referer";"First Click - Referer";"S";"";"N";"N"
"First click - IP";"First Click - IP";"S";"";"N";"N"
"First click - data1";"First Click - Data 1";"S";"";"N";"N"
"First click - data2";"First Click - Data 2";"S";"";"N";"N"
"Last click - time";"Last Click - Time";"S";"";"N";"N"
"Last click - referer";"Last Click - Referer";"S";"";"N";"N"
"Last click - IP";"Last Click - IP";"S";"";"N";"N"
"Last click - data1";"Last Click - Data 1";"S";"";"N";"N"
