"source";"translation";"type";"module";"status";"customer"
"Affiliate last name";"שם משפחה של משווק המשנה";"S";"";"T";"N"
"3rd party cookie";"קוקי של חברה צד 3";"B";"";"T";"N"
"1st party cookie";"קוקי של חברה מדרגה ראשונה";"B";"";"T";"N"
"Flash cookie";"קוקי פלאש";"B";"";"T";"N"
"Forced parameter";"משתנה הכרחי";"B";"";"T";"N"
"IP address";"כתובת IP";"B";"";"T";"N"
"Default affiliate";"משווק משנה ברירת מחדל";"B";"";"T";"N"
"Url";"URL";"B";"";"T";"N"
"Note";"הערה  ";"B";"";"T";"N"
"Status does not have allowed value";"אין ערך חוקי מוזן עבור מצב";"S";"";"T";"N"
"Selected username already exists";"שם משתמש שנבחר נמצא כבר בשימוש";"S";"";"T";"N"
"Failed to change status for %s user(s)";"לא ניתן לשנות מצב עבור %s משתמש/ים";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"מצב שונה בהצלחה עבור %s משתמש/ים";"S";"";"T";"N"
"Password";"סיסמא";"B";"";"T";"N"
"Title must be unique";"כותרת חייבת להיות ייחודית";"S";"";"T";"N"
"Selected parent affiliate does not exist";"משווק משנה אב שנבחר אינו קיים";"S";"";"T";"N"
"Failed loading file %s with error: %s";"לא ניתן לטעון את הקובץ %s עקב שגיאה : %s";"S";"";"T";"N"
"Merchant - New User Signup";"מפרסם - הרשמה למשתמשים חדשים";"B";"";"T";"N"
"New user signed up";"משתמש חדש נרשם";"B";"";"T";"N"
"Email subject";"נושא האימייל";"S";"";"T";"N"
"Email text";"תוכן האימייל";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"מפרסם - משווק משנה הזין טופס צור קשר";"B";"";"T";"N"
"Affiliate filled Contact us form";"משווק משנה הזין טופס צור קשר";"B";"";"T";"N"
"Merchant - New Sale / Lead";"מפרסם - מכירה חדשה / ליד חדש";"B";"";"T";"N"
"New sale / lead";"מכירה / ליד חדש";"B";"";"T";"N"
"Affiliate - New User Signup Approved";"משווק משנה - הרשמת משתמש חדש אושרה";"B";"";"T";"N"
", welcome to our affiliate program";"ברוך הבא לתוכנית השותפים שלנו";"B";"";"T";"N"
"Affiliate - New User Signup Before Approval";"משווק משנה - משתמש חדש נרשם אך טרם אושר";"B";"";"T";"N"
"Paid amount";"סכום ששולם";"S";"";"T";"N"
"Paid currency";"שולם במטבע";"S";"";"T";"N"
"Payout method";"אופן תשלום";"B";"";"T";"N"
"Affiliate - On payout";"משווק משנה - בתשלום";"B";"";"T";"N"
"Your commissions";"העמלות שלך";"B";"";"T";"N"
"Affiliate - New Subaffiliate Sale / Lead";"משווק משנה - מכירה/ליד ממשוק משנה תחתיך";"B";"";"T";"N"
"New subaffiliate sale / lead";"מכירה/ליד ממשוק משנה תחתיך";"B";"";"T";"N"
"Affiliate - New Subaffiliate signup";"משווק משנה - משווק משנה נוסף נרשם תחתיך";"B";"";"T";"N"
"New subaffiliate signed up";"משווק משנה נוסף נרשם תחתיך";"B";"";"T";"N"
"VAT percentage";"אחוז מעמ";"B";"";"T";"N"
"VAT number";"מספר מעמ";"B";"";"T";"N"
"Registration number";"עוסק מושרה/חפ";"B";"";"T";"N"
"VAT part";"חלק מעמ";"B";"";"T";"N"
"Payment incl. VAT";"תשלום כולל מעמ";"B";"";"T";"N"
"Payment excl. VAT";"תשלום לפני מעמ";"B";"";"T";"N"
"Affiliate - On VAT payout";"משווק משנה - בתשלום מעמ";"B";"";"T";"N"
"Transaction ID";"מזהה עסקה";"B";"";"T";"N"
"TotalCost";"עלות כוללת";"S";"";"T";"N"
"Campaign ID";"מזהה קמפיין";"S";"";"T";"N"
"Referer URL";"url מפנה";"S";"";"T";"N"
"First click - time";"קליק ראשון - מועד";"S";"";"T";"N"
"First click - referer";"קליק ראשון - מפנה";"S";"";"T";"N"
"First click - IP";"קליק ראשון - IP";"S";"";"T";"N"
"First click - data1";"קליק ראשון - מידע 1";"S";"";"T";"N"
"First click - data2";"קליק ראשון - מידע 2";"S";"";"T";"N"
"Last click - time";"קליק אחרון - מועד";"S";"";"T";"N"
"Last click - referer";"קליק אחרון - מפנה";"S";"";"T";"N"
"Last click - IP";"קליק אחרון - IP";"S";"";"T";"N"
"Last click - data1";"קליק אחרון - מידע 1";"S";"";"T";"N"
"Last click - data2";"קליק אחרון - מידע 2";"S";"";"T";"N"
"Transaction data1";"מידע עסקה 1";"S";"";"T";"N"
"Transaction data2";"מידע עסקה 2";"S";"";"T";"N"
"Transaction data3";"מידע עסקה 3";"S";"";"T";"N"
"Transaction data4";"מידע עסקה 4";"S";"";"T";"N"
"Transaction data5";"מידע עסקה 5";"S";"";"T";"N"
"Note to merchant";"הערה למפרסם";"S";"";"T";"N"
"Original currency";"מטבע מקורי";"S";"";"T";"N"
"Banner does not exist";"באנר לא קיים";"S";"";"T";"N"
"Server error: Unknown type given for BannerForm._save()";"שגיאת שרת: סוג לא מוכר ניתן עבור  BannerForm._save()";"S";"";"T";"N"
"Banner was saved";"באנר נשמר";"S";"";"T";"N"
"Clicks";"קליקים";"B";"";"T";"N"
"CTR";"יחס CTR";"S";"";"T";"N"
"Order";"הזמנה";"B";"";"T";"N"
"BannersImportExportDescription";"הגדרות באנרים, שים לב שיבוא/יצוא זה מתייחס להגדרות בלבד ולא לתמונות או קבצים";"B";"";"T";"N"
"Campaign does not exist";"קמפיין לא קיים";"S";"";"T";"N"
"Campaign capping saved";"מכסת קמפיין נשמרה";"S";"";"T";"N"
"Number of transactions in 'Active until' campaign validity has to be set";"יש לקבוע מספר עסקאות של 'בתוקף עד'";"S";"";"T";"N"
"There are missing From and To dates for 'Active in date range' campaign validity";"חסרים תאריכי 'מ' ו 'עד' עבור ,תקף בטווח תאריכים'";"S";"";"T";"N"
"Commission successfully computed";"עמלה חושבה בהצלחה";"S";"";"T";"N"
"User is not valid!";"משתמש אינו תקף!";"S";"";"T";"N"
"Campaign is not valid!";"קמפיין אינו תקף!";"S";"";"T";"N"
"Transaction type is not valid or doesn't exist in this campaign!";"סוג עסקה אינו תקף או שאינו קיים בקמפיין זה!";"S";"";"T";"N"
"Cannot recognize commission group for this user in campaign!";"לא ניתן לזהות קבוצת עמלה עבור משתמש זה בקמפיין זה!";"S";"";"T";"N"
"Error getting commission settings!";"שגיאה בעת קבלת נתוני עמלה!";"S";"";"T";"N"
"Error, for percentage commissions you have to define Total cost!";"שגיאה, עבור אחוזי עמלה עליך להזין מחיר כולל!";"S";"";"T";"N"
"You cannot delete default campaign";"לא ניתן למחוק קמפיין ברירת מחדל";"S";"";"T";"N"
"Default";"ברירת מחדל";"B";"";"T";"N"
"per sale / lead";"עבור מכירה / ליד";"B";"";"T";"N"
"CampaignsImportExportDescription";"הגדרות קמפיין והגדרות העמלות שלו";"B";"";"T";"N"
"loadCommissionGroups: campaignId is empty";"loadCommissionGroups: מזהה קמפיין חסר";"S";"";"T";"N"
"Campaign ID cannot be empty!";"מזהה קמפיין אינו יכול להיות ריק!";"S";"";"T";"N"
"CommissionTypeId (Id) cannot be empty!";"CommissionTypeId (Id) לא יכול להיות ריק!";"S";"";"T";"N"
"CommissionGroupId cannot be empty!";"CommissionGroupId לא יכול להיות ריק!";"S";"";"T";"N"
"Commission type does not exist";"סוג העמלה שלך אינה קיימת";"S";"";"T";"N"
"Commissions saved successfully";"עמלות נשמרו בהצלחה";"S";"";"T";"N"
"Field 'type' does not exist";"שדה 'סוג' אינו קיים";"S";"";"T";"N"
"Failed to change status";"שינוי מצב נכשל";"S";"";"T";"N"
"Status successfully changed";"שינוי מצב נשמר בהצלחה";"S";"";"T";"N"
"CommissionsImportExportDescription";"עמלות (עסקאות,הזמנות) נרשמו על ידי המערכת";"B";"";"T";"N"
"Affiliate screen";"מסך משווק משנה";"S";"";"T";"N"
"Affiliate panel menu saved";"תפריט משווקי משנה נשמר";"S";"";"T";"N"
"Error changing default theme";"שגיאה בשינוי ערכת נושא ברירת המחדל";"S";"";"T";"N"
"Default theme changed";"ערכת נושא ברירת המחדל שונתה";"S";"";"T";"N"
"Program name and logo saved";"שם התוכנית והלוגו נשמרו";"S";"";"T";"N"
"Affiliate signup settings saved";"הגדרות הרשמה למשווקי משנה נשמרו";"S";"";"T";"N"
"Banner format successfully saved";"פורמט הבאנר נשמר בהצלחה";"S";"";"T";"N"
"Cookies settings saved";"הגדרות קוקיס נשמרו";"S";"";"T";"N"
"Symbol";"סימן";"B";"";"T";"N"
"Precision";"דיוק";"B";"";"T";"N"
"Where to display";"היכן להציג";"B";"";"T";"N"
"Exchange rate";"שער חליפין";"S";"";"T";"N"
"Currency";"מטבע  ";"B";"";"T";"N"
"Fraud protections saved";"הגנות נגד הונאה נשמרו";"S";"";"T";"N"
"Logging saved";"התחברות נשמרה";"S";"";"T";"N"
"Parameter names saved";"שמות משתנים נשמרו";"S";"";"T";"N"
"Tracking saved";"מעקב נשמר";"S";"";"T";"N"
"Affiliates successfully paid";"משווקי משנה קיבלו תשלום בהצלחה";"S";"";"T";"N"
"Email";"אימייל";"B";"";"T";"N"
"VAT";"מעמ";"S";"";"T";"N"
"To pay";"לתשלום";"S";"";"T";"N"
"Declined";"נדחה";"B";"";"T";"N"
"Minimum payout";"תשלום מינימלי";"S";"";"T";"N"
"Payout data";"מידע לגבי תשלום";"B";"";"T";"N"
"N/A";"לא זמין";"S";"";"T";"N"
"New payout option";"אפשרות תשלום חדשה";"S";"";"T";"N"
"New payout option %s";"אפשרות תשלום חדשה %s";"S";"";"T";"N"
"Payout option";"אפשרות תשלום";"B";"";"T";"N"
"Payout history";"היסטוריית תשלום";"B";"";"T";"N"
"Date paid";"שולם בתאריך";"S";"";"T";"N"
"Payees";"מוטבים";"S";"";"T";"N"
"Total amount";"סכום כולל";"S";"";"T";"N"
"Affiliate note";"הערה למשווק משנה";"B";"";"T";"N"
"Date";"תאריך";"B";"";"T";"N"
"Data 1";"מידע 1";"B";"";"T";"N"
"Data 2";"מידע 2";"B";"";"T";"N"
"Clicks unique";"קליקים יחודיים";"S";"";"T";"N"
"Impressions unique";"הופעות יחודיות";"S";"";"T";"N"
"Table name";"שם טבלה";"S";"";"T";"N"
"Records";"רשומות";"S";"";"T";"N"
"Total size";"גודל כולל";"S";"";"T";"N"
"Data size";"גודל המידע";"S";"";"T";"N"
"Index size";"גודל האינדקס";"S";"";"T";"N"
"Transaction";"עסקה";"B";"";"T";"N"
"Payout status";"מצב תשלום";"B";"";"T";"N"
"Data 3";"מידע 3";"B";"";"T";"N"
"Data 4";"מידע 4";"B";"";"T";"N"
"Data 5";"מידע 5";"B";"";"T";"N"
"Tracked by";"נעקב על-ידי";"B";"";"T";"N"
"Time";"זמן";"B";"";"T";"N"
"Click data 1";"מידע קליק 1";"B";"";"T";"N"
"Click data 2";"מידע קליק 2";"B";"";"T";"N"
"unpaid";"לא שולם";"B";"";"T";"N"
"Username must be valid email address";"שם משתמש חייב להיות אימייל תקף";"S";"";"T";"N"
"You have to agree with terms & conditions";"עליך להסכים לתנאי השימוש";"B";"";"T";"N"
"is mandatory";"הכרחי";"B";"";"T";"N"
"Payout settings saved";"הגדרות תשלום נשמרו";"S";"";"T";"N"
"Affiliate details";"פרטי משווק משנה";"B";"";"T";"N"
"Date joined";"הצטרף בתאריך";"B";"";"T";"N"
"Date approved";"אושר בתאריך";"B";"";"T";"N"
"Parent";"אב";"S";"";"T";"N"
"Firstname";"שם פרטי  ";"B";"";"T";"N"
"Lastname";"שם משפחה   ";"B";"";"T";"N"
"Parent ID";"מזהה אב";"S";"";"T";"N"
"Parent username";"שם משתמש אב";"S";"";"T";"N"
"Parent first name";"שם פרטי אב";"S";"";"T";"N"
"Parent last name";"שם משפחה אב";"S";"";"T";"N"
"AffiliatesImportExportDescription";"מידע על משווקי משנה - אתה יכול להתמש בזה לטעינה של משווקי משנה חדשים למערכת";"B";"";"T";"N"
"Status successfully set to selected url(s)";"המצב נשמר בהצלחה עבור כתובות URL שנבחרו";"S";"";"T";"N"
"Failed to set status selected url(s)";"שמירת המצב נכשלה עבור כתובות URL שנבחרו";"S";"";"T";"N"
"Commission group";"קבוצת עמלה";"B";"";"T";"N"
"Selected commission group(s) are changed";"קבוצות עמלה שנבחרו שונו";"S";"";"T";"N"
"Changes saved";"שינויים נשמרו";"S";"";"T";"N"
"Application Name";"Post Affiliate Pro";"S";"";"T";"N"
"New password URL";"URL לסיסמא חדשה";"S";"";"T";"N"
"Request valid until";"בקשה בתוקף עד";"S";"";"T";"N"
"Request new password";"איפוס סיסמא";"B";"";"T";"N"
"Wrong username/password";"שם משתמש / סיסמא שגויים";"S";"";"T";"N"
"Select account";"בחר חשבון";"B";"";"T";"N"
"Authentication failed";"אימות נכשל";"S";"";"T";"N"
"User authenticated. Logging in.";"אימות עבר בהצלחה. מתחבר.";"S";"";"T";"N"
"You entered invalid username";"הזנת שם משתמש שגוי";"S";"";"T";"N"
"Within a few minutes you will receive instructions on how to reset your password.";"בתוך דקות תקבל אימייל המכיל הוראות לאיפוס סיסמתך";"S";"";"T";"N"
"Your password was changed. Go back to login dialog and login.";"סיסמתך שונתה, גש חזרה למסך ההתחברות והתחבר";"S";"";"T";"N"
"Logout error";"שגיאה בהתנתקות";"S";"";"T";"N"
"Logout successful";"התנתקת בהצלחה";"S";"";"T";"N"
"Invalid password request. You have to request again new password before trying to set password.";"שגיאה בבקשת סיסמא. עליך לבקש סיסמא חדשה לפני שאתה מנסה לשנות את הסיסמא.";"S";"";"T";"N"
"User account not approved yet";"חשבון משתמש טרם אושר";"S";"";"T";"N"
"Unsupported";"לא נתמך";"S";"";"T";"N"
"Import file is not defined";"לא מוגדר קובץ לייבוא";"S";"";"T";"N"
"Export data";"ייצא מידע";"B";"";"T";"N"
"Data was successfully exported to file %s";"המידע יוצא בהצלחה לקובץ %s";"S";"";"T";"N"
"File name";"שם קובץ";"B";"";"T";"N"
"Modules";"מודולים";"S";"";"T";"N"
"Size";"גודל";"S";"";"T";"N"
"Could not create account. (%s)";"לא ניתן לצור חשבון חדש (%s).";"S";"";"T";"N"
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"ספריה %s לא ניתנת לכתיבה על ידי השרת, נא לשנות הרשאות כתיבה.";"S";"";"T";"N"
"Failed to delete %s filter(s)";"לא ניתן למחוק את המסננים %s";"S";"";"T";"N"
"%s filter(s) successfully deleted";"מסננים %s נמחקו בהצלחה";"S";"";"T";"N"
"Failed to load default mail account. Please check your mail account settings.";"טעינת הגדרות ברירת מחדל לדואר נכשלה, נא בדוק את הגדרות הדואר שלך.";"S";"";"T";"N"
"View name must be unique";"שם תצוגה חייב להיות ייחודי";"S";"";"T";"N"
"Maximum length of %s in %s is %s";"האורך המקסימלי של %s ב %s הוא %s";"S";"";"T";"N"
"Relation constraint";"אילוץ יחסי";"S";"";"T";"N"
"must be unique";"חייב להיות ייחודי";"S";"";"T";"N"
"Error changing theme";"שגיאה בשינוי ערכת נושא   ";"S";"";"T";"N"
"Theme changed";"ערכת נושא שונתה";"S";"";"T";"N"
"Failed to delete %s wallpaper(s)";"מחיקת רקע/ים %s נכשלה";"S";"";"T";"N"
"%s wallpaper(s) successfully deleted";"%s רקע/ים נמחקו בהצלחה";"S";"";"T";"N"
"Failed to save wallpaper with error %s";"שמירת רקע נכשלה עם הודעה שגיאה %s";"S";"";"T";"N"
"Wallpaper saved.";"רקע נשמר";"S";"";"T";"N"
"Side bar saved";"סרגל צד נשמר";"S";"";"T";"N"
"Windows saved";"חלון  נשמר";"S";"";"T";"N"
"Quick Launch saved";"סרגל קיצורים נשמר";"S";"";"T";"N"
"File does not exist";"קובץ לא קיים";"S";"";"T";"N"
"File was successfully uploaded";"קובץ הועלה בהצלחה";"S";"";"T";"N"
"Unsupported gadget";"גאדגט לא נתמך";"S";"";"T";"N"
"Gadget";"גאגדט";"B";"";"T";"N"
"Gadget added";"גאדגט נוסף";"S";"";"T";"N"
"Failed to close gadget";"סגירת גאדגט נכשלה";"S";"";"T";"N"
"Gadget successfully closed";"גאדגט נסגר בהצלחה";"S";"";"T";"N"
"Docking";"נעיצה";"S";"";"T";"N"
"Gadgets saved";"גאגדגטים נשמרו";"S";"";"T";"N"
"Create Account";"צור חשבון";"B";"";"T";"N"
"Create Database";"צור מסד נתונים";"B";"";"T";"N"
"Could not create database. %s";"לא ניתן לצור מסד נתונים %s";"S";"";"T";"N"
"doesnt exist's";"לא קיים";"S";"";"T";"N"
"Internal error";"שגיאה פנימית";"B";"";"T";"N"
"Error during database creation.";"שגיאה בזמן יצירת מסד נתונים";"S";"";"T";"N"
"OK";"OK";"B";"";"T";"N"
