"source";"translation";"type";"module";"status";"customer"
"3rd party cookie";"Cookie de terceros";"B";"";"T";"N"
"1st party cookie";"Cookie (1st party) ";"B";"";"T";"N"
"Flash cookie";"Flash cookie";"B";"";"T";"N"
"Forced parameter";"Parámetro forzado";"B";"";"T";"N"
"IP address";"Dirección IP";"B";"";"T";"N"
"Default affiliate";"Afiliado predeterminado";"B";"";"T";"N"
"Url";"URL";"B";"";"T";"N"
"Note";"Nota";"B";"";"T";"N"
"Status does not have allowed value";"El estado no tiene un valor permitido";"S";"";"T";"N"
"Selected username already exists";"El username seleccionado ya existe ";"S";"";"T";"N"
"Failed to change status for %s user(s)";"Error al cambiar el estado del(los) usuario(s) %s";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"El estado del(los) usuario(s) %s fue cambiado  ";"S";"";"T";"N"
"Password";"Password";"B";"";"T";"N"
"Title must be unique";"El título debe ser único";"S";"";"T";"N"
"Selected parent affiliate does not exist";"El patrocinador seleccionado no existe";"S";"";"T";"N"
"Failed loading file %s with error: %s";"Error al cargar el archivo %s con error: %s";"S";"";"T";"N"
"Merchant - New User Signup";"Administrador - Nueva inscripción";"B";"";"T";"N"
"New user signed up";"Un nuevo usuario se inscribió";"B";"";"T";"N"
"Email subject";"Asunto del email";"S";"";"T";"N"
"Email text";"Texto del email";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"Administrador - Forma de contacto con datos";"B";"";"T";"N"
"Affiliate filled Contact us form";"Forma de contacto para el afiliado";"B";"";"T";"N"
"Merchant - New Sale / Lead";"Administrador - Nueva Venta / Candidato";"B";"";"T";"N"
"New sale / lead";"Nueva venta / candidato";"B";"";"T";"N"
"Affiliate - New User Signup Approved";"Afiliado - Nuevo Usuario Aprobado";"B";"";"T";"N"
", welcome to our affiliate program";", bienvenido a nuestro programa de afiliados";"B";"";"T";"N"
"Affiliate - New User Signup Before Approval";"Afiliado - Nuevo usuario antes de ser aprobado";"B";"";"T";"N"
"Paid amount";"Monto pagado";"S";"";"T";"N"
"Paid currency";"Divisa de pago";"S";"";"T";"N"
"Payout method";"Método de pago";"B";"";"T";"N"
"Affiliate - On payout";"Afiliado - en pago";"B";"";"T";"N"
"Your commissions";"Comisiones";"B";"";"T";"N"
"Affiliate - New Subaffiliate Sale / Lead";"Afiliado - Nueva Venta / Candidato de un Subafiliado";"B";"";"T";"N"
"New subaffiliate sale / lead";"Nueva venta / candidato del Subafiliado";"B";"";"T";"N"
"Affiliate - New Subaffiliate signup";"Afiliado - Nueva inscripción";"B";"";"T";"N"
"New subaffiliate signed up";"Se ha inscrito un nuevo Subafiliado";"B";"";"T";"N"
"VAT percentage";"Porcentaje de IVA";"B";"";"T";"N"
"VAT number";"Número de IVA";"B";"";"T";"N"
"Registration number";"Número de registro";"B";"";"T";"N"
"VAT part";"Parte de IVA";"B";"";"T";"N"
"Payment incl. VAT";"Pago con IVA incluido";"B";"";"T";"N"
"Payment excl. VAT";"Pago sin IVA";"B";"";"T";"N"
"Affiliate - On VAT payout";"Afiliado - Pago de IVA";"B";"";"T";"N"
"Transaction ID";"ID de Transacción";"B";"";"T";"N"
"TotalCost";"Costo Total";"S";"";"T";"N"
"Campaign ID";"ID de campaña";"S";"";"T";"N"
"Referer URL";"URL del patrocinador";"S";"";"T";"N"
"First click - time";"Primer click - hora";"S";"";"T";"N"
"First click - referer";"Primer click - promotor";"S";"";"T";"N"
"First click - IP";"Primer click - IP";"S";"";"T";"N"
"First click - data1";"Primer click - data1";"S";"";"T";"N"
"First click - data2";"Primer click - data2";"S";"";"T";"N"
"Last click - time";"Último click - hora";"S";"";"T";"N"
"Last click - referer";"Último click - promotor";"S";"";"T";"N"
"Last click - IP";"Último click - IP";"S";"";"T";"N"
"Last click - data1";"Último click - data1";"S";"";"T";"N"
"Last click - data2";"Último click - data2";"S";"";"T";"N"
"Transaction data1";"Transacción data1";"S";"";"T";"N"
"Transaction data2";"Transacción data2";"S";"";"T";"N"
"Transaction data3";"Transacción data3";"S";"";"T";"N"
"Transaction data4";"Transacción data4";"S";"";"T";"N"
"Transaction data5";"Transacción data5";"S";"";"T";"N"
"Note to merchant";"Nota para el Administrador";"S";"";"T";"N"
"Original currency";"Divisa original";"S";"";"T";"N"
"Banner does not exist";"El banner no existe";"S";"";"T";"N"
