"source";"translation";"type";"module";"status";"customer"
"Banner format successfully saved";"Bannerformat erfolgreich gespeichert";"S";"";"T";"N"
"Cookies settings saved";"Cookie-Einstellungen gespeichert";"S";"";"T";"N"
"Symbol";"Symbol";"B";"";"T";"N"
"Precision";"Genauigkeit";"B";"";"T";"N"
"Where to display";"Wo soll es angezeigt werden";"B";"";"T";"N"
"Exchange rate";"Wechselkurs";"S";"";"T";"N"
"Currency";"Währung";"B";"";"T";"N"
"Fraud protections saved";"Betrugsschutz gespeichert";"S";"";"T";"N"
"Logging saved";"Protokollierung gespeichert";"S";"";"T";"N"
"Parameter names saved";"Parameter Namen gespeichert";"S";"";"T";"N"
"Tracking saved";"Tracking gespeichert";"S";"";"T";"N"
"Affiliates successfully paid";"Partner erfolgreich bezahlt";"S";"";"T";"N"
"Email";"E-Mail";"B";"";"T";"N"
"VAT";"MwSt.";"S";"";"T";"N"
"To pay";"Zu zahlen";"S";"";"T";"N"
"Declined";"Abgelehnt";"B";"";"T";"N"
"Minimum payout";"Mindestauszahlungsbetrag";"S";"";"T";"N"
"Payout data";"Auszahlungsdaten";"B";"";"T";"N"
"N/A";"N/A";"S";"";"T";"N"
"New payout option";"Neue Auszahlungsoption";"S";"";"T";"N"
"New payout option %s";"Neue Auszahlungsoption %s";"S";"";"T";"N"
"Payout option";"Auszahlungsoption";"B";"";"T";"N"
"Payout history";"Auszahlungsverlauf";"B";"";"T";"N"
"Date paid";"Bezahlt am";"S";"";"T";"N"
"Payees";"Zahlungsempfänger";"S";"";"T";"N"
"Total amount";"Gesamtbetrag";"S";"";"T";"N"
"Affiliate note";"Partner Mitteilung";"B";"";"T";"N"
"Date";"Datum";"B";"";"T";"N"
"Data 1";"Daten 1";"B";"";"T";"N"
"Data 2";"Daten 2";"B";"";"T";"N"
"Clicks unique";"Klicks eindeutig";"S";"";"T";"N"
"Impressions unique";"Aufrufe eindeutig";"S";"";"T";"N"
"Table name";"Tabellenname";"S";"";"T";"N"
"Records";"Datensätze";"S";"";"T";"N"
"Total size";"Gesamtgröße";"S";"";"T";"N"
"Data size";"Datengröße";"S";"";"T";"N"
"Index size";"Indexgröße";"S";"";"T";"N"
"Transaction";"Transaktion";"B";"";"T";"N"
"Payout status";"Auszahlungsstatus";"B";"";"T";"N"
"Data 3";"Daten 3";"B";"";"T";"N"
"Data 4";"Daten 4";"B";"";"T";"N"
"Data 5";"Daten 5";"B";"";"T";"N"
"Tracked by";"Zurückverfolgt durch";"B";"";"T";"N"
"Time";"Zeit";"B";"";"T";"N"
"Click data 1";"Klick Daten 1";"B";"";"T";"N"
"Click data 2";"Klick Daten 2";"B";"";"T";"N"
"unpaid";"unbezahlt";"B";"";"T";"N"
"Username must be valid email address";"Der Benutzername muss eine gültige E-Mail-Adresse sein";"S";"";"T";"N"
"You have to agree with terms & conditions";"Sie müssen den Allgemeinen Geschäftsbestimmungen zustimmen";"B";"";"T";"N"
"is mandatory";"ist obligatorisch";"B";"";"T";"N"
"Payout settings saved";"Auszahlungseinstellungen gespeichert";"S";"";"T";"N"
"Affiliate details";"Partner Details";"B";"";"T";"N"
"Date joined";"Beigetreten am";"B";"";"T";"N"
"Date approved";"Genehmigt am";"B";"";"T";"N"
"Parent";"Übergeordnet";"S";"";"T";"N"
"Firstname";"Vorname";"B";"";"T";"N"
"Lastname";"Nachname";"B";"";"T";"N"
"Parent ID";"Übergeordneter Partner-ID";"S";"";"T";"N"
"Parent username";"Benutzername des übergeordneten Partners";"S";"";"T";"N"
"Parent first name";"Vorname des übergeordneten Partners";"S";"";"T";"N"
"Parent last name";"Nachname des übergeordneten Partners";"S";"";"T";"N"
"AffiliatesImportExportDescription";"Partnerdaten-können Sie verwenden um neue Partner in das System zu laden.";"B";"";"T";"N"
"Status successfully set to selected url(s)";"Status für ausgewählte URLs erfolgreich gesetzt";"S";"";"T";"N"
"Failed to set status selected url(s)";"Fehler beim Setzen des Status für ausgewählte URLs";"S";"";"T";"N"
"Commission group";"Provisionsgruppe";"B";"";"T";"N"
"Selected commission group(s) are changed";"Ausgewählte Provisionsgruppe(n) wurden geändert";"S";"";"T";"N"
"Changes saved";"Änderungen gespeichert";"S";"";"T";"N"
"Application Name";"Name der Anwendung";"S";"";"T";"N"
"New password URL";"Neue Kennwort-URL";"S";"";"T";"N"
"Request valid until";"Anforderung gültig bis";"S";"";"T";"N"
"Request new password";"Neues Kennwort anfordern";"B";"";"T";"N"
"Wrong username/password";"Falscher Benutzername / Kennwort";"S";"";"T";"N"
"Select account";"Konto auswählen";"B";"";"T";"N"
"Authentication failed";"Authentifizierung fehlgeschlagen";"S";"";"T";"N"
"User authenticated. Logging in.";"Benutzer authentifiziert. Benutzer wird angemeldet.";"S";"";"T";"N"
"You entered invalid username";"Sie haben einen ungültigen Benutzernamen eingegeben";"S";"";"T";"N"
"Within a few minutes you will receive instructions on how to reset your password.";"Sie werden in wenigen Minuten eine E-Mail mit Anweisungen erhalten, wie Sie ihr Kennwort zurücksetzen können.";"S";"";"T";"N"
"Your password was changed. Go back to login dialog and login.";"Ihr Kennwort wurde geändert. Bitte gehen Sie zurück zur Anmeldung und melden sich mit Ihrem neuen Kennwort an.";"S";"";"T";"N"
"Logout error";"Fehler beim Abmelden";"S";"";"T";"N"
"Logout successful";"Abmeldung erfolgreich";"S";"";"T";"N"
"Invalid password request. You have to request again new password before trying to set password.";"Ungültige Kennwortanforderung. Sie müssen noch einmal ein neues Kennwort anfordern bevor Sie versuchen können Ihr Kennwort festzulegen.";"S";"";"T";"N"
"User account not approved yet";"Benutzerkonto noch nicht genehmigt";"S";"";"T";"N"
"Unsupported";"Nicht unterstützt";"S";"";"T";"N"
"Import file is not defined";"Importdatei ist nicht definiert";"S";"";"T";"N"
"Export data";"Daten exportieren";"B";"";"T";"N"
"Data was successfully exported to file %s";"Daten erfolgreich in Datei %s exportiert";"S";"";"T";"N"
"File name";"Dateiname";"B";"";"T";"N"
"Modules";"Module";"S";"";"T";"N"
"Size";"Größe";"S";"";"T";"N"
"Could not create account. (%s)";"Konto konnte nicht angelegt werden. (%s)";"S";"";"T";"N"
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"Verzeichnis %s ist nicht durch Webserver-Benutzer beschreibbar. Bitte entfernen Sie es oder vergeben Sie Schreibrechte.";"S";"";"T";"N"
"Failed to delete %s filter(s)";"Fehler beim Löschen von %s Filter(n)";"S";"";"T";"N"
"%s filter(s) successfully deleted";"%s Filter erfolgreich gelöscht";"S";"";"T";"N"
"Failed to load default mail account. Please check your mail account settings.";"Standard-E-Mail-Konto konnte nicht geladen werden. Bitte überprüfen Sie die Einstellungen Ihres E-Mail-Kontos.";"S";"";"T";"N"
"View name must be unique";"Anzeigename muss eindeutig sein";"S";"";"T";"N"
"Maximum length of %s in %s is %s";"Maximale Länge von %s in %s ist %s";"S";"";"T";"N"
"Relation constraint";"Beziehung beschränkt";"S";"";"T";"N"
"must be unique";"muss eindeutig sein";"S";"";"T";"N"
"Error changing theme";"Fehler beim Ändern des Themas";"S";"";"T";"N"
"Theme changed";"Thema geändert";"S";"";"T";"N"
"Failed to delete %s wallpaper(s)";"Hintergrundbild(er) konnte(n) nicht gelöscht %s werden";"S";"";"T";"N"
"%s wallpaper(s) successfully deleted";"%s Hintergrundbild(er) erfolgreich gelöscht";"S";"";"T";"N"
"Failed to save wallpaper with error %s";"Fehler beim Speichern des Hintergrundbildes mit Fehler %s";"S";"";"T";"N"
"Wallpaper saved.";"Hintergrundbild gespeichert.";"S";"";"T";"N"
"Side bar saved";"Navigationsleiste gespeichert";"S";"";"T";"N"
"Windows saved";"Fenster gespeichert";"S";"";"T";"N"
"Quick Launch saved";"Schnellstartleiste gespeichert";"S";"";"T";"N"
"File does not exist";"Datei existiert nicht";"S";"";"T";"N"
"File was successfully uploaded";"Datei wurde erfolgreich hochgeladen";"S";"";"T";"N"
"Unsupported gadget";"nicht unterstütztes Gadget";"S";"";"T";"N"
"Gadget";"Gadget";"B";"";"T";"N"
"Gadget added";"Gadget hinzugefügt";"S";"";"T";"N"
"Failed to close gadget";"Gadget konnte nicht geschlossen werden";"S";"";"T";"N"
"Gadget successfully closed";"Gadget erfolgreich geschlossen";"S";"";"T";"N"
