"source";"translation";"type";"module";"status";"customer"
"Original currency value";"Значение первоначальной валюты";"S";"";"T";"N"
"System note";"Заметка системы";"B";"";"T";"N"
"Country code";"Код страны";"B";"";"T";"N"
"Affiliate first name";"Имя партнера";"S";"";"T";"N"
"Affiliate last name";"Фамилия партнера";"S";"";"T";"N"
"3rd party cookie";"Внешний файл cookie";"B";"";"T";"N"
"1st party cookie";"Собственный файл cookie";"B";"";"T";"N"
"Flash cookie";"Файл Flash cookie";"B";"";"T";"N"
"Forced parameter";"Принудительный параметр";"B";"";"T";"N"
"IP address";"IP-адрес";"B";"";"T";"N"
"Default affiliate";"Партнер по умолчанию";"B";"";"T";"N"
"Url";"URL-адрес";"B";"";"T";"N"
"Note";"Примечание";"B";"";"T";"N"
"Status does not have allowed value";"Статус не имеет разрешенных значений";"S";"";"T";"N"
"Selected username already exists";"Выбранное имя пользователя уже существует";"S";"";"T";"N"
"Failed to change status for %s user(s)";"Не удалось изменить статус пользователя %s";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"Статус пользователя %s успешно изменен";"S";"";"T";"N"
"Password";"Пароль";"B";"";"T";"N"
"Title must be unique";"Название должно быть уникальным";"S";"";"T";"N"
"Selected parent affiliate does not exist";"Выбранный родительский партнер не существует";"S";"";"T";"N"
"Failed loading file %s with error: %s";"Не удалось загрузить файл %s из-за ошибки: %s";"S";"";"T";"N"
"Merchant - New User Signup";"Продавец - Регистрация нового пользователя";"B";"";"T";"N"
"New user signed up";"Новый пользователь зарегистрирован";"B";"";"T";"N"
"Email subject";"Тема сообщения";"S";"";"T";"N"
"Email text";"Текст сообщения";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"Продавец - Партнер заполнил форму обратной связи";"B";"";"T";"N"
"Affiliate filled Contact us form";"Партнер заполнил форму обратной связи";"B";"";"T";"N"
"Merchant - New Sale / Lead";"Продавец - Новая продажа / зацепка";"B";"";"T";"N"
"New sale / lead";"Новая продажа / зацепка";"B";"";"T";"N"
"Affiliate - New User Signup Approved";"Партнер - Регистрация нового пользователя одобрена";"B";"";"T";"N"
", welcome to our affiliate program";", добро пожаловать в нашу партнерскую программу";"B";"";"T";"N"
"Affiliate - New User Signup Before Approval";"Партнер - Регистрация нового пользователя до одобрения";"B";"";"T";"N"
"Paid amount";"Заплаченная сумма";"S";"";"T";"N"
"Paid currency";"Валюта оплаты";"S";"";"T";"N"
"Payout method";"Метод выплаты";"B";"";"T";"N"
"Affiliate - On payout";"Партнер - После выплаты";"B";"";"T";"N"
"Your commissions";"Ваша комиссия";"B";"";"T";"N"
"Affiliate - New Subaffiliate Sale / Lead";"Партнер - Новые продажи / зацепки субпартнеров";"B";"";"T";"N"
"New subaffiliate sale / lead";"Новые продажи / зацепки субпартнеров";"B";"";"T";"N"
"Affiliate - New Subaffiliate signup";"Партнер - Регистрация нового субпартнера";"B";"";"T";"N"
"New subaffiliate signed up";"Новый субпартнер зарегистрирован";"B";"";"T";"N"
"VAT percentage";"Процент НДС";"B";"";"T";"N"
"VAT number";"Номер плательщика НДС";"B";"";"T";"N"
"Registration number";"Регистрационный номер";"B";"";"T";"N"
"VAT part";"Часть НДС";"B";"";"T";"N"
"Payment incl. VAT";"Платеж, включая НДС";"B";"";"T";"N"
"Payment excl. VAT";"Платеж без НДС";"B";"";"T";"N"
"Affiliate - On VAT payout";"Партнер - Выплата НДС";"B";"";"T";"N"
"Transaction ID";"ID трансакции";"B";"";"T";"N"
"TotalCost";"Общая стоимость";"S";"";"T";"N"
"Campaign ID";"ID кампании";"S";"";"T";"N"
"Referer URL";"URL-адрес реферера";"S";"";"T";"N"
"First click - time";"Первый клик - время";"S";"";"T";"N"
"First click - referer";"Первый клик - реферер";"S";"";"T";"N"
"First click - IP";"Первый клик - IP адрес";"S";"";"T";"N"
"First click - data1";"Первый клик - данные1";"S";"";"T";"N"
"First click - data2";"Первый клик - данные2";"S";"";"T";"N"
"Last click - time";"Последний клик - время";"S";"";"T";"N"
"Last click - referer";"Последний клик - реферер";"S";"";"T";"N"
"Last click - IP";"Последний клик - IP-адрес";"S";"";"T";"N"
"Last click - data1";"Последний клик - данные1";"S";"";"T";"N"
"Last click - data2";"Последний клик - данные2";"S";"";"T";"N"
"Transaction data1";"Транзакция - данные1";"S";"";"T";"N"
"Transaction data2";"Транзакция - данные2";"S";"";"T";"N"
"Transaction data3";"Транзакция - данные3";"S";"";"T";"N"
"Transaction data4";"Транзакция - данные4";"S";"";"T";"N"
"Transaction data5";"Транзакция - данные5";"S";"";"T";"N"
"Note to merchant";"Заметка для продавца";"S";"";"T";"N"
"Original currency";"Первоначальная валюта";"S";"";"T";"N"
"Banner does not exist";"Баннер не существует";"S";"";"T";"N"
"Server error: Unknown type given for BannerForm._save()";"Ошибка сервера: Неизвестный тип выдан для BannerForm._save()";"S";"";"T";"N"
"Banner was saved";"Баннер сохранен";"S";"";"T";"N"
"Clicks";"Клики";"B";"";"T";"N"
"CTR";"CTR";"S";"";"T";"N"
"Order";"Заказ";"B";"";"T";"N"
"BannersImportExportDescription";"Определения баннеров - примите во внимание, что импортируются и экспортируются только определения, а не сами файлы изображений";"B";"";"T";"N"
"Campaign does not exist";"Такой кампании не существует";"S";"";"T";"N"
"Campaign capping saved";"Ограничения кампании сохранены";"S";"";"T";"N"
"Number of transactions in 'Active until' campaign validity has to be set";"В сроке действия кампании (в графе Активна до"") нужно установить количество транзакций""";"S";"";"T";"N"
"There are missing From and To dates for 'Active in date range' campaign validity";"В сроке действия кампании (в графе Активна в промежутке"") отсутствуют даты ""От"" и ""До""""";"S";"";"T";"N"
"Commission successfully computed";"Комиссия успешно рассчитана";"S";"";"T";"N"
"User is not valid!";"Пользователь недействителен!";"S";"";"T";"N"
"Campaign is not valid!";"Кампания недействительна!";"S";"";"T";"N"
"Transaction type is not valid or doesn't exist in this campaign!";"Тип транзакции недействителен или не существует в данной кампании!";"S";"";"T";"N"
"Cannot recognize commission group for this user in campaign!";"Не удается распознать группу комиссий для этого пользователя в кампании!";"S";"";"T";"N"
"Error getting commission settings!";"Ошибка при получении настроек комиссий!";"S";"";"T";"N"
"Error, for percentage commissions you have to define Total cost!";"Ошибка, для комиссий в процентах вы должны установить Общую стоимость!";"S";"";"T";"N"
"You cannot delete default campaign";"Вы не можете удалить кампанию по умолчанию";"S";"";"T";"N"
"Default";"По умолчанию";"B";"";"T";"N"
"per sale / lead";"за продажу / зацепку";"B";"";"T";"N"
"CampaignsImportExportDescription";"Кампании и настройки величины комиссий";"B";"";"T";"N"
"loadCommissionGroups: campaignId is empty";"Загрузка групп комиссий: поле ID кампании пусто";"S";"";"T";"N"
"Campaign ID cannot be empty!";"Поле ID кампании не может быть пустым!";"S";"";"T";"N"
"CommissionTypeId (Id) cannot be empty!";"Поле ID типа комиссий не может быть пустым!";"S";"";"T";"N"
"CommissionGroupId cannot be empty!";"Поле ID группы комиссий не может быть пустым!";"S";"";"T";"N"
"Commission type does not exist";"Тип комиссий не существует";"S";"";"T";"N"
"Commissions saved successfully";"Комиссии успешно сохранены";"S";"";"T";"N"
"Field 'type' does not exist";"Поле 'тип' не существует";"S";"";"T";"N"
"Failed to change status";"Не удалось изменить статус";"S";"";"T";"N"
"Status successfully changed";"Статус успешно изменен";"S";"";"T";"N"
"CommissionsImportExportDescription";"Комиссии (транзакции, заказы), зафиксированные системой";"B";"";"T";"N"
"Affiliate screen";"Экран партнера";"S";"";"T";"N"
"Affiliate panel menu saved";"Меню панели управления партнера сохранено";"S";"";"T";"N"
"Error changing default theme";"Ошибка при смене темы по умолчанию";"S";"";"T";"N"
"Default theme changed";"Тема по умолчанию изменена";"S";"";"T";"N"
"Program name and logo saved";"Название и логотип программы изменены";"S";"";"T";"N"
"Affiliate signup settings saved";"Настройки регистрации партнеров сохранены";"S";"";"T";"N"
"Banner format successfully saved";"Формат баннера успешно сохранен";"S";"";"T";"N"
"Cookies settings saved";"Настройки файлов cookie сохранены";"S";"";"T";"N"
"Symbol";"Символ";"B";"";"T";"N"
"Precision";"Точность";"B";"";"T";"N"
"Where to display";"Где показывать";"B";"";"T";"N"
"Exchange rate";"Валютный курс";"S";"";"T";"N"
"Currency";"Валюта";"B";"";"T";"N"
"Fraud protections saved";"Настройки защиты от мошенничества сохранены";"S";"";"T";"N"
"Logging saved";"Настройки записи информации сохранены";"S";"";"T";"N"
"Parameter names saved";"Названия параметров сохранены";"S";"";"T";"N"
"Tracking saved";"Настройки отслеживания сохранены";"S";"";"T";"N"
