"source";"translation";"type";"module";"status";"customer"
"Impressions unique";"獨立展示次數";"S";"";"T";"N"
"CTR unique";"獨立點擊率(CTR)";"S";"";"T";"N"
"Table name";"表格名稱";"S";"";"T";"N"
"Records";"記錄";"S";"";"T";"N"
"Total size";"統計容量";"S";"";"T";"N"
"Data size";"資料(Data)容量";"S";"";"T";"N"
"Index size";"索引容量";"S";"";"T";"N"
"Transaction";"交易";"B";"";"T";"N"
"Payout status";"支出狀態";"B";"";"T";"N"
"Data 3";"數據(Data) 3";"B";"";"T";"N"
"Data 4";"數據(Data) 4";"B";"";"T";"N"
"Data 5";"數據(Data) 5";"B";"";"T";"N"
"Tracked by";"跟蹤通過";"B";"";"T";"N"
"Time";"時間";"B";"";"T";"N"
"Click data 1";"點擊數據(Data) 1";"B";"";"T";"N"
"Click data 2";"點擊數據(Data) 2";"B";"";"T";"N"
"paid";"已付";"B";"";"T";"N"
"unpaid";"未付";"B";"";"T";"N"
"Username must be valid email address";"用戶名必須是有效的電子郵寄地址";"S";"";"T";"N"
"You have to agree with terms & conditions";"您必須同意此條款";"B";"";"T";"N"
"is mandatory";"必須填寫";"B";"";"T";"N"
"Payout settings saved";"支出設置已保存";"S";"";"T";"N"
"Affiliate details";"聯盟會員具體內容";"B";"";"T";"N"
"Date joined";"合併的資料(Data)";"B";"";"T";"N"
"Date approved";"批准的數據(Data)";"B";"";"T";"N"
"Parent";"總";"S";"";"T";"N"
"Firstname";"名字";"B";"";"T";"N"
"Lastname";"姓氏";"B";"";"T";"N"
"Parent ID";"總 ID";"S";"";"T";"N"
"Parent username";"總用戶名";"S";"";"T";"N"
"Parent first name";"總名字";"S";"";"T";"N"
"Parent last name";"總姓氏";"S";"";"T";"N"
"AffiliatesImportExportDescription";"聯盟會員資料(Data) – 您可以使用它載入新的聯盟會員到系統中";"B";"";"T";"N"
"Status successfully set to selected url(s)";"狀態已經成功被設置到選擇的連結";"S";"";"T";"N"
"Failed to set status selected url(s)";"設置狀態到選擇的連結失敗";"S";"";"T";"N"
"Commission group";"佣金組";"B";"";"T";"N"
"Selected commission group(s) are changed";"選擇的佣金組已經被改變";"S";"";"T";"N"
"Changes saved";"改變已經保存";"S";"";"T";"N"
"Application Name";"應用程式名稱";"S";"";"T";"N"
"New password URL";"新密碼網址";"S";"";"T";"N"
"Request valid until";"申請有效期至";"S";"";"T";"N"
"Request new password";"要求新密碼";"B";"";"T";"N"
"Wrong username/password";"錯誤的用戶名或密碼";"S";"";"T";"N"
"Select account";"選擇帳戶";"B";"";"T";"N"
"Authentication failed";"鑒定失敗";"S";"";"T";"N"
"User authenticated. Logging in.";"已通過鑒定的用戶. 登陸.";"S";"";"T";"N"
"You entered invalid username";"您輸入了無效的用戶名";"S";"";"T";"N"
"Within a few minutes you will receive instructions on how to reset your password.";"您將在幾分鐘內收到附有詳細說明如何重置您的密碼的電子郵件。";"S";"";"T";"N"
"Your password was changed. Go back to login dialog and login.";"您的密碼已經更改。 請重新登錄。";"S";"";"T";"N"
"Logout error";"登出錯誤";"S";"";"T";"N"
"Logout successful";"成功註銷";"S";"";"T";"N"
"Invalid password request. You have to request again new password before trying to set password.";"無效的密碼請求。 在試圖充值密碼前，您必須再次請求新的密碼。";"S";"";"T";"N"
