"source";"translation";"type";"module";"status";"customer"
"Payment date";"Betaaldatum";"S";"";"T";"N"
"Username";"Gebruikersnaam";"B";"";"T";"N"
"Amount";"Bedrag";"B";"";"T";"N"
"Note to affiliate";"Notitie voor partner";"S";"";"T";"N"
"Original currency ID";"Originele valuta ID";"S";"";"T";"N"
"Original currency rate";"Originele valutakoers";"S";"";"T";"N"
"Original currency value";"Originele valutawaarde";"S";"";"T";"N"
"System note";"Systeem notitie";"B";"";"T";"N"
"Country code";"Landcode";"B";"";"T";"N"
"Affiliate first name";"Partner voornaam";"S";"";"T";"N"
"Affiliate last name";"Partner achternaam";"S";"";"T";"N"
"3rd party cookie";"3de party cookie";"B";"";"T";"N"
"1st party cookie";"1ste party cookie";"B";"";"T";"N"
"Flash cookie";"Flash cookie";"B";"";"T";"N"
"Forced parameter";"Benodigde parameter";"B";"";"T";"N"
"IP address";"IP-adres";"B";"";"T";"N"
"Default affiliate";"Standaard partner";"B";"";"T";"N"
"Url";"URL";"B";"";"T";"N"
"Note";"Notitie";"B";"";"T";"N"
"Status does not have allowed value";"Status heeft geen toegestane waarde";"S";"";"T";"N"
"Selected username already exists";"Gekozen gebruikersnaam bestaat al";"S";"";"T";"N"
"Failed to change status for %s user(s)";"Fout bij wijzigen status voor %s gebruiker (s)";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"Status succesvol gewijzigd voor% s gebruiker (s)";"S";"";"T";"N"
"Password";"Wachtwoord";"B";"";"T";"N"
"Title must be unique";"Titel moet uniek zijn";"S";"";"T";"N"
"Selected parent affiliate does not exist";"Geselecteerde ouder partner bestaat niet";"S";"";"T";"N"
"Failed loading file %s with error: %s";"Fout bij het laden van bestand %s met fout: %s";"S";"";"T";"N"
"Merchant - New User Signup";"Zakenpartner - Nieuwe gebruiker aanmelding";"B";"";"T";"N"
"New user signed up";"Nieuwe gebruiker aangemeld";"B";"";"T";"N"
"Email subject";"Email onderwerp";"S";"";"T";"N"
"Email text";"Email tekst";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"Handelaar - Partner heeft contactformulier ingevuld";"B";"";"T";"N"
"Affiliate filled Contact us form";"Partner heeft contactformulier ingevuld";"B";"";"T";"N"
"Merchant - New Sale / Lead";"Handelaar - Nieuwe Verkoop / Lead";"B";"";"T";"N"
"New sale / lead";"Nieuwe verkoop / lead";"B";"";"T";"N"
"Affiliate - New User Signup Approved";"Partner - Nieuwe gebruiker goedgekeurd";"B";"";"T";"N"
", welcome to our affiliate program";", welkom bij ons partnerprogramma";"B";"";"T";"N"
"Affiliate - New User Signup Before Approval";"Partner - Nieuwe gebruiker wacht op goedkeuring";"B";"";"T";"N"
"Paid amount";"Betaald bedrag";"S";"";"T";"N"
"Paid currency";"Betaald valuta";"S";"";"T";"N"
"Payout method";"Uitbetaling methode";"B";"";"T";"N"
"Affiliate - On payout";"Partner - uitbetalen";"B";"";"T";"N"
"Your commissions";"Uw provisie";"B";"";"T";"N"
"Affiliate - New Subaffiliate Sale / Lead";"Partner - Nieuwe Sub-partner verkoop / Lead";"B";"";"T";"N"
"New subaffiliate sale / lead";"Nieuwe sub-partner verkoop / lead";"B";"";"T";"N"
"Affiliate - New Subaffiliate signup";"Partner - Nieuwe Sub-partner aanmelding";"B";"";"T";"N"
"New subaffiliate signed up";"Nieuwe sub-partner aangemeld";"B";"";"T";"N"
"VAT percentage";"BTW-percentage";"B";"";"T";"N"
"VAT number";"BTW-nummer";"B";"";"T";"N"
"Registration number";"Inschrijfnummer";"B";"";"T";"N"
"VAT part";"BTW-deel";"B";"";"T";"N"
"Payment incl. VAT";"Betaling incl. BTW";"B";"";"T";"N"
"Payment excl. VAT";"Betaling excl.. BTW";"B";"";"T";"N"
"Affiliate - On VAT payout";"Partner - met BTW uitbetalen";"B";"";"T";"N"
"Transaction ID";"Transactie ID";"B";"";"T";"N"
"TotalCost";"Totaalkosten";"S";"";"T";"N"
"Campaign ID";"Campagne-ID";"S";"";"T";"N"
"Referer URL";"Referentie URL";"S";"";"T";"N"
"First click - time";"Eerste klik - tijd";"S";"";"T";"N"
"First click - referer";"Eerste klik - referentie";"S";"";"T";"N"
"First click - IP";"Eerste klik - IP";"S";"";"T";"N"
"First click - data1";"Eerste klik - data1";"S";"";"T";"N"
"First click - data2";"Eerste klik - data2";"S";"";"T";"N"
"Last click - time";"Laatste klik - tijd";"S";"";"T";"N"
"Last click - referer";"Laatste klik - referentie";"S";"";"T";"N"
"Last click - IP";"Laatste klik - IP";"S";"";"T";"N"
"Last click - data1";"Laatste klik - data1";"S";"";"T";"N"
"Last click - data2";"Laatste klik - data2";"S";"";"T";"N"
"Transaction data1";"Transactie data1";"S";"";"T";"N"
"Transaction data2";"Transactie data2";"S";"";"T";"N"
"Transaction data3";"Transactie data3";"S";"";"T";"N"
"Transaction data4";"Transactie data4";"S";"";"T";"N"
"Transaction data5";"Transactie data5";"S";"";"T";"N"
"Note to merchant";"Notitie voor de zakenpartner";"S";"";"T";"N"
"Original currency";"Oorspronkelijke valuta";"S";"";"T";"N"
"Banner does not exist";"Banner bestaat niet";"S";"";"T";"N"
"Server error: Unknown type given for BannerForm._save()";"Server error: Onbekend type voor BannerForm._save ()";"S";"";"T";"N"
"Banner was saved";"Banner is opgeslagen";"S";"";"T";"N"
"Clicks";"Klikken";"B";"";"T";"N"
"CTR";"CTR";"S";"";"T";"N"
"Order";"Order";"B";"";"T";"N"
"BannersImportExportDescription";"Banner import / export beschrijving";"B";"";"T";"N"
"Campaign does not exist";"Campagne bestaat niet";"S";"";"T";"N"
"Campaign capping saved";"Campagne instelling opgeslagen";"S";"";"T";"N"
"Number of transactions in 'Active until' campaign validity has to be set";"Aantal transacties in campagne 'Actief totdat' moet geldigheid ingesteld worden";"S";"";"T";"N"
"There are missing From and To dates for 'Active in date range' campaign validity";"Er ontbreken van / tot in campagne 'Actief in datum bereik' geldigheid";"S";"";"T";"N"
"Commission successfully computed";"Provisie succesvol berekend";"S";"";"T";"N"
"User is not valid!";"Gebruiker is niet geldig!";"S";"";"T";"N"
"Campaign is not valid!";"Campagne is niet geldig!";"S";"";"T";"N"
"Transaction type is not valid or doesn't exist in this campaign!";"Transactie is niet geldig of bestaat niet in deze campagne!";"S";"";"T";"N"
"Cannot recognize commission group for this user in campaign!";"Kan de provisie voor deze gebruiker in deze campagne niet herkennen!";"S";"";"T";"N"
"Error getting commission settings!";"Fout bij het ophalen van de provisie instellingen!";"S";"";"T";"N"
"Error, for percentage commissions you have to define Total cost!";"Fout bij het procentuele definiëren van de provisies op de totaalkosten!";"S";"";"T";"N"
"You cannot delete default campaign";"U kunt standaard campagne niet verwijderen";"S";"";"T";"N"
"Default";"Standaard";"B";"";"T";"N"
"per sale / lead";"per verkoop / lead";"B";"";"T";"N"
"CampaignsImportExportDescription";"Campagne import / export beschrijving";"B";"";"T";"N"
"loadCommissionGroups: campaignId is empty";"Laden provisiegroep: campagne ID is leeg";"S";"";"T";"N"
"Campaign ID cannot be empty!";"Campagne-ID mag niet leeg zijn!";"S";"";"T";"N"
"CommissionTypeId (Id) cannot be empty!";"Provisie type (ID) mag niet leeg zijn!";"S";"";"T";"N"
"CommissionGroupId cannot be empty!";"Provisiegroep ID mag niet leeg zijn!";"S";"";"T";"N"
"Commission type does not exist";"Provisie bestaat niet";"S";"";"T";"N"
"Commissions saved successfully";"Provisie succesvol opgeslagen";"S";"";"T";"N"
"Field 'type' does not exist";"Veld ""type"" bestaat niet";"S";"";"T";"N"
"Failed to change status";"Fout bij status wijziging";"S";"";"T";"N"
"Status successfully changed";"Status succesvol gewijzigd";"S";"";"T";"N"
"CommissionsImportExportDescription";"Provisie import / export beschrijving";"B";"";"T";"N"
"Affiliate screen";"Partner scherm";"S";"";"T";"N"
"Affiliate panel menu saved";"Partner panel menu opgeslagen";"S";"";"T";"N"
"Error changing default theme";"Fout bij het wijzigen van standaard thema";"S";"";"T";"N"
"Default theme changed";"Standaard thema gewijzigd";"S";"";"T";"N"
"Program name and logo saved";"Programma naam en het logo opgeslagen";"S";"";"T";"N"
"Affiliate signup settings saved";"Partner aanmelding instellingen opgeslagen";"S";"";"T";"N"
